GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0030312,external encapsulating structure,cellular_component,130,6011,0.8419502947692308,0.7630574372600233,0.29643964265627254,495583.5,7.036291634438045e-09,high_c,3.1320518659960117e-07,6.504171054746482,8.152656168560457
GO:0009259,ribonucleotide metabolic process,biological_process,82,6011,0.8470325996341462,0.7630574372600233,0.369152861709086,332826.0,8.93499617129663e-09,high_c,3.8777883383427377e-07,6.411415899743767,8.048905629256279
GO:0019693,ribose phosphate metabolic process,biological_process,89,6011,0.8453495629213482,0.7630574372600233,0.3540141692185679,356822.0,9.403743958635858e-09,high_c,3.9816828078516707e-07,6.399933340061132,8.02669920418187
GO:0005525,GTP binding,molecular_function,92,6011,0.8534701117391303,0.7630574372600233,0.3438503125527961,365895.5,1.4440260753545718e-08,high_c,5.697339242762584e-07,6.244327920112676,7.840424964466962
GO:0032561,guanyl ribonucleotide binding,molecular_function,92,6011,0.8534701117391303,0.7630574372600233,0.3438503125527961,365895.5,1.4440260753545718e-08,high_c,5.697339242762584e-07,6.244327920112676,7.840424964466962
GO:0019001,guanyl nucleotide binding,molecular_function,92,6011,0.8534701117391303,0.7630574372600233,0.3438503125527961,365895.5,1.4440260753545718e-08,high_c,5.697339242762584e-07,6.244327920112676,7.840424964466962
GO:0009150,purine ribonucleotide metabolic process,biological_process,67,6011,0.8578029368656716,0.7630574372600233,0.40161406962495727,279095.0,1.5002546598631774e-08,high_c,5.787649087827724e-07,6.237497808555079,7.823835015620209
GO:0030684,preribosome,cellular_component,164,6011,0.8318573985365854,0.7630574372600233,0.2545770814301267,601512.0,2.5658434167556425e-08,high_c,9.683269938016948e-07,6.013977961262801,7.5907698504217
GO:0009117,nucleotide metabolic process,biological_process,150,6011,0.8278232756666667,0.7630574372600233,0.2652152647443553,556157.0,2.7770889629242524e-08,high_c,1.0257503063056389e-06,5.988958344673671,7.556410207578427
GO:0046165,alcohol biosynthetic process,biological_process,70,6011,0.8632847022857143,0.7630574372600233,0.3801957342438742,286991.0,4.328534016139896e-08,high_c,1.5654864691705956e-06,5.805350681729558,7.363659165194444
GO:0035770,ribonucleoprotein granule,cellular_component,139,6011,0.8310948144604315,0.7630574372600233,0.27110981514515897,518745.0,4.466092822070131e-08,high_c,1.5822728855334178e-06,5.800718614099299,7.350072254911259
GO:0005730,nucleolus,cellular_component,278,6011,0.815180428561151,0.7630574372600233,0.1929897212528251,950678.0,5.254225157489848e-08,high_c,1.8242669746804752e-06,5.738911603975794,7.279491320480249
GO:0036464,cytoplasmic ribonucleoprotein granule,cellular_component,138,6011,0.8304985728985507,0.7630574372600233,0.268474991178002,514033.0,6.69706781973474e-08,high_c,2.27962935981559e-06,5.642135758294193,7.17411530303673
GO:0010494,cytoplasmic stress granule,cellular_component,101,6011,0.8368637993069306,0.7630574372600233,0.3108408302759209,391227.0,8.110691496219358e-08,high_c,2.70772316104554e-06,5.567395740199691,7.0909421174053655
GO:0099080,supramolecular complex,cellular_component,248,6011,0.8190071221370968,0.7630574372600233,0.20013377888980322,857630.0,9.058639772525108e-08,high_c,2.9671318198308655e-06,5.527663158990388,7.042937010230072
GO:0051082,unfolded protein binding,molecular_function,81,6011,0.8462375083950617,0.7630574372600233,0.3381966564653467,321388.0,1.6422259930045887e-07,high_c,5.279452451585122e-06,5.27741111716052,6.784567078178025
GO:0006090,pyruvate metabolic process,biological_process,39,6011,0.8773825394871795,0.7630574372600233,0.48428993422295497,172851.5,1.7806073993629294e-07,high_c,5.620244445989173e-06,5.250244794887255,6.749431826233485
GO:0009205,purine ribonucleoside triphosphate metabolic process,biological_process,45,6011,0.8748110822222224,0.7630574372600233,0.44924945059038257,194540.0,1.9955015736151916e-07,high_c,6.186054878207094e-06,5.2085862315690505,6.699947925403323
GO:1901293,nucleoside phosphate biosynthetic process,biological_process,114,6011,0.8306348581578947,0.7630574372600233,0.28341797345661934,431394.0,2.0925881519735423e-07,high_c,6.373215845308894e-06,5.195641372773986,6.679316237941968
GO:0046034,ATP metabolic process,biological_process,40,6011,0.8784400497499998,0.7630574372600233,0.47355551833863685,175972.0,2.3437462404072129e-07,high_c,7.015074954046416e-06,5.153967684299934,6.63008941157747
GO:0005759,mitochondrial matrix,cellular_component,140,6011,0.8327850150714285,0.7630574372600233,0.2543263498552206,515490.5,2.5961082159159406e-07,high_c,7.638718411576395e-06,5.116979499208157,6.585677208406486
GO:0006163,purine nucleotide metabolic process,biological_process,115,6011,0.8333038879999999,0.7630574372600233,0.27859713291251254,433470.0,2.9829761603524086e-07,high_c,8.6307443572863e-06,5.063951747005369,6.525350217462199
GO:0044183,protein folding chaperone,molecular_function,43,6011,0.8694489618604649,0.7630574372600233,0.45053463432882346,186121.0,3.427425413564986e-07,high_c,9.75411560319478e-06,5.010812101570773,6.465031987400479
GO:0009144,purine nucleoside triphosphate metabolic process,biological_process,47,6011,0.8720677861702127,0.7630574372600233,0.43062631105783633,200508.0,3.5261238337100095e-07,high_c,9.873146734388026e-06,5.005544408467431,6.45270243980965
GO:0006790,sulfur compound metabolic process,biological_process,117,6011,0.836622592991453,0.7630574372600233,0.27074469473519347,438151.5,5.104369580762924e-07,high_c,1.4065373955880058e-05,4.851848716764603,6.292057888151494
GO:0071826,protein-RNA complex organization,biological_process,193,6011,0.8187352878238342,0.7630574372600233,0.2118207385690647,680361.0,5.331326107176726e-07,high_c,1.446122206571687e-05,4.839795004830463,6.273164751687049
GO:0042026,protein refolding,biological_process,28,6011,0.8969060617857144,0.7630574372600233,0.5440295121892982,129331.0,6.557921422740834e-07,high_c,1.747535569901903e-05,4.757573975722537,6.183233791368164
GO:0022618,protein-RNA complex assembly,biological_process,184,6011,0.8194427000000001,0.7630574372600233,0.21493459980152374,651307.0,6.643856429350554e-07,high_c,1.747535569901903e-05,4.757573975722537,6.177579761021142
GO:0009141,nucleoside triphosphate metabolic process,biological_process,58,6011,0.8541682668965517,0.7630574372600233,0.37378429884671305,237166.0,9.282833347188537e-07,high_c,2.405223685181985e-05,4.618844528137202,6.032319446276849
GO:0044272,sulfur compound biosynthetic process,biological_process,60,6011,0.8597553793333333,0.7630574372600233,0.3652859463395508,243744.5,1.083345093759931e-06,high_c,2.765716298187118e-05,4.558192371027486,5.965233179161723
GO:0022627,cytosolic small ribosomal subunit,cellular_component,59,6011,0.8647377861016948,0.7630574372600233,0.3679777200656096,240195.0,1.1098037299699544e-06,high_c,2.792201848156291e-05,4.554053189783884,5.954753819887102
GO:1902652,secondary alcohol metabolic process,biological_process,42,6011,0.8748660747619048,0.7630574372600233,0.434522812308036,179816.0,1.1739304039771943e-06,high_c,2.8936277647273857e-05,4.5385573371155115,5.930357649310374
GO:0009081,branched-chain amino acid metabolic process,biological_process,16,6011,0.92608872125,0.7630574372600233,0.7022518765638033,81640.0,1.1834537517030206e-06,high_c,2.8936277647273857e-05,4.5385573371155115,5.926848709236909
GO:0003924,GTPase activity,molecular_function,85,6011,0.8449154695294119,0.7630574372600233,0.30169541998372074,327838.5,1.7263276214338135e-06,high_c,4.162367709457083e-05,4.380659556240167,5.762876780649372
GO:0051169,nuclear transport,biological_process,173,6011,0.819515002601156,0.7630574372600233,0.21267775210054918,612386.5,1.801702243463057e-06,high_c,4.170340126202489e-05,4.379828523225515,5.744316980674288
GO:0006913,nucleocytoplasmic transport,biological_process,173,6011,0.819515002601156,0.7630574372600233,0.21267775210054918,612386.5,1.801702243463057e-06,high_c,4.170340126202489e-05,4.379828523225515,5.744316980674288
GO:0180051,translation factor activity,molecular_function,50,6011,0.8535543322000001,0.7630574372600233,0.3918805569535313,207425.0,1.7608560676419552e-06,high_c,4.170340126202489e-05,4.379828523225515,5.754276141808726
GO:0006091,generation of precursor metabolites and energy,biological_process,152,6011,0.8259892157894736,0.7630574372600233,0.22629602680536465,546050.0,1.8381370696639012e-06,high_c,4.1986920433375426e-05,4.376885977894528,5.735622106454209
GO:0033750,ribosome localization,biological_process,68,6011,0.8596018889705881,0.7630574372600233,0.33283843572764793,269316.0,2.284344887391488e-06,high_c,5.1501593824826273e-05,4.288179330597325,5.641238326265316
GO:0044085,cellular component biogenesis,biological_process,168,6011,0.8237367127976191,0.7630574372600233,0.2132812563669999,595493.0,2.3543741472209585e-06,high_c,5.2399916917635695e-05,4.280669401608658,5.628124519758651
GO:0042645,mitochondrial nucleoid,cellular_component,23,6011,0.8968478930434785,0.7630574372600233,0.5653335656820888,107792.0,2.778212258151516e-06,high_c,6.0216032425952596e-05,4.220287863108889,5.55623457680487
GO:0009295,nucleoid,cellular_component,23,6011,0.8968478930434785,0.7630574372600233,0.5653335656820888,107792.0,2.778212258151516e-06,high_c,6.0216032425952596e-05,4.220287863108889,5.55623457680487
GO:0051168,nuclear export,biological_process,128,6011,0.8272975995312499,0.7630574372600233,0.24165099651538324,467496.5,2.809619024482811e-06,high_c,6.0216032425952596e-05,4.220287863108889,5.5513525650707125
GO:0006637,acyl-CoA metabolic process,biological_process,22,6011,0.9028402249999999,0.7630574372600233,0.5771490156195449,103901.0,2.872365030922952e-06,high_c,6.0810069435149324e-05,4.216024500693808,5.541760369150564
GO:0009063,amino acid catabolic process,biological_process,48,6011,0.8640807322916668,0.7630574372600233,0.3891986695734808,198811.0,3.2989599319395735e-06,high_c,6.89999330343024e-05,4.161151330753282,5.481622959217681
GO:0072522,purine-containing compound biosynthetic process,biological_process,82,6011,0.8348693675609754,0.7630574372600233,0.2983598599689825,315617.0,3.365611244559315e-06,high_c,6.955596572089252e-05,4.157665615225452,5.472936050004043
GO:0008204,ergosterol metabolic process,biological_process,32,6011,0.8821147028125,0.7630574372600233,0.471828483023917,140801.0,4.022820880191277e-06,high_c,8.216020056484773e-05,4.0853385092342895,5.39546930436047
GO:0000054,ribosomal subunit export from nucleus,biological_process,67,6011,0.8583668529850746,0.7630574372600233,0.32553584700990346,263946.0,4.4525374979141596e-06,high_c,8.987912902766256e-05,4.046341144756611,5.3513924143535165
GO:0042802,identical protein binding,molecular_function,191,6011,0.821243795602094,0.7630574372600233,0.19467713787085517,664013.5,4.539193850475664e-06,high_c,9.057517844167531e-05,4.042990801691343,5.343021269913198
GO:0015935,small ribosomal subunit,cellular_component,94,6011,0.8443689710638299,0.7630574372600233,0.27225556366617654,353813.0,5.742573763307931e-06,high_c,0.00011328531878525646,3.9458263688981208,5.240893417588425
GO:0016125,sterol metabolic process,biological_process,45,6011,0.8671967493333332,0.7630574372600233,0.3914627332662868,186783.0,5.87305074122519e-06,high_c,0.00011455748412097674,3.9409765327839055,5.2311362469794656
GO:0006694,steroid biosynthetic process,biological_process,34,6011,0.8767462332352941,0.7630574372600233,0.44923185938253507,147255.0,6.075520657980851e-06,high_c,0.00011719004291394175,3.9311092867072945,5.216416498108443
GO:0046390,ribose phosphate biosynthetic process,biological_process,58,6011,0.844233825862069,0.7630574372600233,0.3441324860835162,232047.0,6.2706491589409405e-06,high_c,0.00011962469164748872,3.9221791686798166,5.2026874971991965
GO:0009260,ribonucleotide biosynthetic process,biological_process,52,6011,0.8465968686538462,0.7630574372600233,0.36297391147198166,211171.0,6.377392356504071e-06,high_c,0.00012033862098794638,3.9195949695832435,5.195356863078161
GO:1902495,transmembrane transporter complex,cellular_component,42,6011,0.8738771890476192,0.7630574372600233,0.40255606347078965,175809.0,6.717539209852225e-06,high_c,0.00012539406525057485,3.901723017651388,5.1727897899379265
GO:0009100,glycoprotein metabolic process,biological_process,79,6011,0.8474060365822786,0.7630574372600233,0.29417789803426175,303244.0,6.841985086511229e-06,high_c,0.00012635836287429246,3.898396009541713,5.164817876782488
GO:0006696,ergosterol biosynthetic process,biological_process,28,6011,0.8837794692857145,0.7630574372600233,0.48702275494854463,124556.0,8.475607853680573e-06,high_c,0.0001532672420207237,3.814550657473507,5.071829145274411
GO:0016129,phytosteroid biosynthetic process,biological_process,28,6011,0.8837794692857145,0.7630574372600233,0.48702275494854463,124556.0,8.475607853680573e-06,high_c,0.0001532672420207237,3.814550657473507,5.071829145274411
GO:0043022,ribosome binding,molecular_function,65,6011,0.8511409489230769,0.7630574372600233,0.31902507180004647,254895.0,9.406456825997352e-06,high_c,0.0001683464850508392,3.773795946926388,5.026573933500616
GO:0030163,protein catabolic process,biological_process,278,6011,0.8101695050719424,0.7630574372600233,0.15660564170327795,921684.0,1.0034993231202079e-05,high_c,0.0001777627372384368,3.7501592709684854,4.998482916116464
GO:0016051,carbohydrate biosynthetic process,biological_process,58,6011,0.8476932500000001,0.7630574372600233,0.3348644844384461,230447.0,1.1056891425240392e-05,high_c,0.0001938865001436093,3.712452428761638,4.956366955004561
GO:0005975,carbohydrate metabolic process,biological_process,192,6011,0.8154461618749999,0.7630574372600233,0.18504038494586705,661992.0,1.2476898765007107e-05,high_c,0.00021659896256052337,3.664343627836825,4.903893348677298
GO:0008202,steroid metabolic process,biological_process,47,6011,0.8605357344680851,0.7630574372600233,0.36894416142243536,191863.0,1.2805470706133905e-05,high_c,0.00021970109755472118,3.65816777348109,4.892604453015984
GO:0016126,sterol biosynthetic process,biological_process,33,6011,0.8750094554545456,0.7630574372600233,0.4396119103379057,141999.0,1.290870504065758e-05,high_c,0.00021970109755472118,3.65816777348109,4.889117322559645
GO:0000323,lytic vacuole,cellular_component,273,6011,0.8102826515384616,0.7630574372600233,0.15485734203057322,904527.0,1.4941442657474757e-05,high_c,0.0002518285869259823,3.5988949714501,4.8256074675854
GO:1990351,transporter complex,cellular_component,60,6011,0.8566424366666666,0.7630574372600233,0.32401837226236485,236377.0,1.5252144321077034e-05,high_c,0.0002545934859749013,3.5941527123922867,4.81666909393398
GO:1902653,secondary alcohol biosynthetic process,biological_process,30,6011,0.8763145496666668,0.7630574372600233,0.4543053001170372,130473.0,1.7177208305668042e-05,high_c,0.00028399651065371165,3.546686995914751,4.765047417685286
GO:1990825,sequence-specific mRNA binding,molecular_function,22,6011,0.8932279909090909,0.7630574372600233,0.5291215713656856,100737.0,1.7842227301353307e-05,high_c,0.0002894776317303677,3.5383849890743115,4.748550932229575
GO:0032787,monocarboxylic acid metabolic process,biological_process,135,6011,0.825202451037037,0.7630574372600233,0.2156430426341931,482160.5,1.7839881909292474e-05,high_c,0.0002894776317303677,3.5383849890743115,4.7486080247531905
GO:0000324,fungal-type vacuole,cellular_component,272,6011,0.809839110367647,0.7630574372600233,0.1525514283078626,899571.0,2.0660332032771058e-05,high_c,0.0003290489578797299,3.4827394803017593,4.684862703201609
GO:0000322,storage vacuole,cellular_component,272,6011,0.809839110367647,0.7630574372600233,0.1525514283078626,899571.0,2.0660332032771058e-05,high_c,0.0003290489578797299,3.4827394803017593,4.684862703201609
GO:0008610,lipid biosynthetic process,biological_process,194,6011,0.8193323266494845,0.7630574372600233,0.17865516819701943,665055.0,2.240149916807328e-05,high_c,0.00035353638687068376,3.4515658808659477,4.649722916548196
