GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0009141,nucleoside triphosphate metabolic process,biological_process,58,6011,0.8240993750000001,0.7261456054350357,0.46132636688543016,252279.0,1.4012021229671403e-09,high_c,6.237145860181937e-08,7.205014099538505,8.853499213352478
GO:0009144,purine nucleoside triphosphate metabolic process,biological_process,47,6011,0.831974071276596,0.7261456054350357,0.5110164533299086,211775.0,1.5064752737314851e-09,high_c,6.538102687994645e-08,7.184548262636162,8.822037992148672
GO:0005759,mitochondrial matrix,cellular_component,140,6011,0.7938982438571429,0.7261456054350357,0.29392899725040755,531766.0,2.6380226772084717e-09,high_c,1.1169774067399773e-07,6.951955611331473,8.57872147545221
GO:0006091,generation of precursor metabolites and energy,biological_process,152,6011,0.7886812736184211,0.7261456054350357,0.28008417100097915,570001.0,3.5405691127242133e-09,high_c,1.4634352332593414e-07,6.834626493223692,8.450926923666264
GO:0046034,ATP metabolic process,biological_process,40,6011,0.83545978475,0.7261456054350357,0.5403282532239155,183946.0,3.6629602035201e-09,high_c,1.4788137007699754e-07,6.830086534470831,8.436167799731717
GO:0009179,purine ribonucleoside diphosphate metabolic process,biological_process,27,6011,0.8577798911111111,0.7261456054350357,0.6539166171519113,133610.0,4.319395675804833e-09,high_c,1.6663268651549311e-07,6.7782398037640155,8.364577010829144
GO:0009135,purine nucleoside diphosphate metabolic process,biological_process,27,6011,0.8577798911111111,0.7261456054350357,0.6539166171519113,133610.0,4.319395675804833e-09,high_c,1.6663268651549311e-07,6.7782398037640155,8.364577010829144
GO:0009132,nucleoside diphosphate metabolic process,biological_process,31,6011,0.8497738038709677,0.7261456054350357,0.6100118675153738,149232.0,4.437168582584797e-09,high_c,1.674548838992871e-07,6.776102181539584,8.352894070698483
GO:0016052,carbohydrate catabolic process,biological_process,78,6011,0.8126283939743588,0.7261456054350357,0.38354790891450263,320135.0,5.5945838309233815e-09,high_c,2.0664250064857428e-07,6.684780351263186,8.252232214167941
GO:0072526,pyridine-containing compound catabolic process,biological_process,28,6011,0.8544127903571427,0.7261456054350357,0.6349896134285238,136950.0,6.410988220412257e-09,high_c,2.296513505253069e-07,6.638930996255359,8.19307502109079
GO:0019842,vitamin binding,molecular_function,49,6011,0.830013193265306,0.7261456054350357,0.480697478588886,216284.0,6.482094571278824e-09,high_c,2.296513505253069e-07,6.638930996255359,8.18828463706732
GO:0019364,pyridine nucleotide catabolic process,biological_process,26,6011,0.8577015396153846,0.7261456054350357,0.6529786003470215,128610.0,8.719231910075877e-09,high_c,3.0273173191783446e-07,6.518942054515716,8.05952177102017
GO:0009181,purine ribonucleoside diphosphate catabolic process,biological_process,24,6011,0.8612902133333334,0.7261456054350357,0.6725961806135516,120166.0,1.2320546347468025e-08,high_c,3.8888124471280897e-07,6.410183001861926,7.909370033208155
GO:0006096,glycolytic process,biological_process,24,6011,0.8612902133333334,0.7261456054350357,0.6725961806135516,120166.0,1.2320546347468025e-08,high_c,3.8888124471280897e-07,6.410183001861926,7.909370033208155
GO:0009137,purine nucleoside diphosphate catabolic process,biological_process,24,6011,0.8612902133333334,0.7261456054350357,0.6725961806135516,120166.0,1.2320546347468025e-08,high_c,3.8888124471280897e-07,6.410183001861926,7.909370033208155
GO:0046031,ADP metabolic process,biological_process,26,6011,0.8570475715384617,0.7261456054350357,0.6471177944862156,128154.0,1.182119406331274e-08,high_c,3.8888124471280897e-07,6.410183001861926,7.927338652988084
GO:0046032,ADP catabolic process,biological_process,24,6011,0.8612902133333334,0.7261456054350357,0.6725961806135516,120166.0,1.2320546347468025e-08,high_c,3.8888124471280897e-07,6.410183001861926,7.909370033208155
GO:0009185,ribonucleoside diphosphate metabolic process,biological_process,29,6011,0.8492505331034482,0.7261456054350357,0.6080079318415015,139477.0,1.541318483459615e-08,high_c,4.778087298724807e-07,6.32074591967444,7.812107613508712
GO:0009134,nucleoside diphosphate catabolic process,biological_process,26,6011,0.8543242969230769,0.7261456054350357,0.6339309812994023,127128.0,2.3224684421859406e-08,high_c,7.073342483569812e-07,6.150375313340772,7.634050178508754
GO:0046390,ribose phosphate biosynthetic process,biological_process,58,6011,0.8057828662068967,0.7261456054350357,0.4246424578740362,245946.0,2.4920234637568412e-08,high_c,7.458884022554959e-07,6.127326145597231,7.603447872874767
GO:0009165,nucleotide biosynthetic process,biological_process,86,6011,0.7978061423255813,0.7261456054350357,0.3488686095574527,343658.0,2.6527452082568618e-08,high_c,7.805365561921885e-07,6.107606752075281,7.57630446127361
GO:0006790,sulfur compound metabolic process,biological_process,117,6011,0.7895552687179488,0.7261456054350357,0.29799970417547605,447549.0,3.240236977329572e-08,high_c,9.375085654406895e-07,6.0280247556998345,7.4894232261566644
