GO_id,term,namespace,p_raw,p_fdr,neg_log10_fdr,neg_log10_raw,study_count,study_n,pop_count,pop_n,gene_ratio,fold_enrich,direction,group
GO:0046390,ribose phosphate biosynthetic process,biological_process,0.0001189209586026754,0.006574941916404668,2.182108079415598,3.9247415986751863,16,601,58,6011,0.026622296173044926,2.759079694761604,enriched,High cross-weight c
GO:0009067,aspartate family amino acid biosynthetic process,biological_process,0.00011894779511898652,0.006574941916404668,2.182108079415598,3.924643603870787,11,601,31,6011,0.018302828618968387,3.548977510600612,enriched,High cross-weight c
GO:0009063,amino acid catabolic process,biological_process,0.00016472446757222683,0.008629193513669267,2.0640297916463197,3.7832418875188845,14,601,48,6011,0.02329450915141431,2.917151968940655,enriched,High cross-weight c
GO:1901292,nucleoside phosphate catabolic process,biological_process,0.0001886505721234929,0.00928220754092895,2.032348725415744,3.7243418733694305,13,601,43,6011,0.021630615640599003,3.0237588515265257,enriched,High cross-weight c
GO:0170040,proteinogenic amino acid catabolic process,biological_process,0.00022566279099665816,0.010830462693642007,1.9653529892654338,3.646540044808014,11,601,33,6011,0.018302828618968387,3.3338879645036053,enriched,High cross-weight c
GO:0006790,sulfur compound metabolic process,biological_process,0.00022998890388813153,0.010972387289662941,1.9596988716111592,3.63829311657546,25,601,117,6011,0.04159733777038269,2.137107669553593,enriched,High cross-weight c
GO:1901136,carbohydrate derivative catabolic process,biological_process,0.00026517809587870426,0.012576345789750382,1.9004455301058818,3.576462352182372,14,601,50,6011,0.02329450915141431,2.8004658901830286,enriched,High cross-weight c
GO:0006091,generation of precursor metabolites and energy,biological_process,0.0002763796130381496,0.013030485873533934,1.885039390253602,3.5584939955654917,30,601,152,6011,0.04991680532445923,1.9740126105613451,enriched,High cross-weight c
GO:0006096,glycolytic process,biological_process,0.000309512962501876,0.013781924413625201,1.8606901362843038,3.5093211578711614,9,601,24,6011,0.014975041597337771,3.750623960066556,enriched,High cross-weight c
GO:0009137,purine nucleoside diphosphate catabolic process,biological_process,0.000309512962501876,0.013781924413625201,1.8606901362843038,3.5093211578711614,9,601,24,6011,0.014975041597337771,3.750623960066556,enriched,High cross-weight c
GO:0009181,purine ribonucleoside diphosphate catabolic process,biological_process,0.000309512962501876,0.013781924413625201,1.8606901362843038,3.5093211578711614,9,601,24,6011,0.014975041597337771,3.750623960066556,enriched,High cross-weight c
GO:0046032,ADP catabolic process,biological_process,0.000309512962501876,0.013781924413625201,1.8606901362843038,3.5093211578711614,9,601,24,6011,0.014975041597337771,3.750623960066556,enriched,High cross-weight c
GO:0034220,monoatomic ion transmembrane transport,biological_process,0.00031194605762851623,0.013813522938632914,1.8596955467877312,3.50592049860871,30,601,154,6011,0.04991680532445923,1.9483760831514574,enriched,High cross-weight c
GO:0009260,ribonucleotide biosynthetic process,biological_process,0.00041419295240405994,0.017772006073856088,1.7502635470043306,3.382797295008155,14,601,52,6011,0.02329450915141431,2.692755663637527,enriched,High cross-weight c
GO:0009191,ribonucleoside diphosphate catabolic process,biological_process,0.0004412925523769654,0.018208252011280675,1.7397317443913953,3.35527340200869,9,601,25,6011,0.014975041597337771,3.600599001663894,enriched,High cross-weight c
GO:0043038,amino acid activation,biological_process,0.00046344147352479824,0.018208252011280675,1.7397317443913953,3.3340051036556604,12,601,41,6011,0.019966722129783693,2.9273162615153607,enriched,High cross-weight c
GO:0043039,tRNA aminoacylation,biological_process,0.00046344147352479824,0.018208252011280675,1.7397317443913953,3.3340051036556604,12,601,41,6011,0.019966722129783693,2.9273162615153607,enriched,High cross-weight c
GO:0002181,cytoplasmic translation,biological_process,0.0005572961689095208,0.021578399970095696,1.6659807612249513,3.253913942458197,26,601,131,6011,0.04326123128119801,1.9850630628342079,enriched,High cross-weight c
GO:0009132,nucleoside diphosphate metabolic process,biological_process,0.0005861843430038451,0.02258782456334528,1.6461255940300297,3.2319657857574318,10,601,31,6011,0.016638935108153077,3.2263431914551015,enriched,High cross-weight c
GO:0019364,pyridine nucleotide catabolic process,biological_process,0.0006159203868795867,0.023170633068862818,1.6350621002386039,3.210475420584572,9,601,26,6011,0.014975041597337771,3.462114424676821,enriched,High cross-weight c
GO:0046031,ADP metabolic process,biological_process,0.0006159203868795867,0.023170633068862818,1.6350621002386039,3.210475420584572,9,601,26,6011,0.014975041597337771,3.462114424676821,enriched,High cross-weight c
GO:0009154,purine ribonucleotide catabolic process,biological_process,0.0006159203868795867,0.023170633068862818,1.6350621002386039,3.210475420584572,9,601,26,6011,0.014975041597337771,3.462114424676821,enriched,High cross-weight c
GO:0006164,purine nucleotide biosynthetic process,biological_process,0.0006186544574842974,0.023170633068862818,1.6350621002386039,3.2085518535795767,15,601,60,6011,0.024958402662229616,2.5004159733777036,enriched,High cross-weight c
GO:0006418,tRNA aminoacylation for protein translation,biological_process,0.0006874243893722248,0.02539035244616766,1.5953312705968008,3.162775063438435,11,601,37,6011,0.018302828618968387,2.973467644016729,enriched,High cross-weight c
GO:0016072,rRNA metabolic process,biological_process,0.0007474365417420453,0.027480293036983915,1.5609786404746937,3.1264256735602527,53,601,339,6011,0.08818635607321132,1.5636819656521335,enriched,High cross-weight c
GO:0044282,small molecule catabolic process,biological_process,0.0008269596376908072,0.030127643164053728,1.52103484114048,3.0825156870084376,27,601,140,6011,0.04492512479201331,1.928892322319943,enriched,High cross-weight c
GO:0009261,ribonucleotide catabolic process,biological_process,0.0008432105168182167,0.030155618895034767,1.520631753913629,3.074063985424181,9,601,27,6011,0.014975041597337771,3.3338879645036053,enriched,High cross-weight c
GO:0009135,purine nucleoside diphosphate metabolic process,biological_process,0.0008432105168182167,0.030155618895034767,1.520631753913629,3.074063985424181,9,601,27,6011,0.014975041597337771,3.3338879645036053,enriched,High cross-weight c
GO:0009179,purine ribonucleoside diphosphate metabolic process,biological_process,0.0008432105168182167,0.030155618895034767,1.520631753913629,3.074063985424181,9,601,27,6011,0.014975041597337771,3.3338879645036053,enriched,High cross-weight c
GO:0006637,acyl-CoA metabolic process,biological_process,0.000854064315554946,0.030155618895034767,1.520631753913629,3.06850942341067,8,601,22,6011,0.013311148086522463,3.6369686885493873,enriched,High cross-weight c
GO:0009127,purine nucleoside monophosphate biosynthetic process,biological_process,0.000854064315554946,0.030155618895034767,1.520631753913629,3.06850942341067,8,601,22,6011,0.013311148086522463,3.6369686885493873,enriched,High cross-weight c
GO:0009168,purine ribonucleoside monophosphate biosynthetic process,biological_process,0.000854064315554946,0.030155618895034767,1.520631753913629,3.06850942341067,8,601,22,6011,0.013311148086522463,3.6369686885493873,enriched,High cross-weight c
GO:0009156,ribonucleoside monophosphate biosynthetic process,biological_process,0.0008818071501262421,0.030729062209834047,1.5124506933495065,3.0546263840220775,11,601,38,6011,0.018302828618968387,2.8952184954899733,enriched,High cross-weight c
GO:0009152,purine ribonucleotide biosynthetic process,biological_process,0.0008818071501262421,0.030729062209834047,1.5124506933495065,3.0546263840220775,11,601,38,6011,0.018302828618968387,2.8952184954899733,enriched,High cross-weight c
GO:0006364,rRNA processing,biological_process,0.0009083320850319064,0.031112314792866365,1.5070676756682215,3.041755344948242,45,601,276,6011,0.07487520798668885,1.6307060695941547,enriched,High cross-weight c
GO:0009250,glucan biosynthetic process,biological_process,0.001017537077904981,0.0338404965950557,1.4705632724973758,2.992449756612671,10,601,33,6011,0.016638935108153077,3.0308072404578223,enriched,High cross-weight c
GO:0006508,proteolysis,biological_process,0.001113515915445109,0.036879463067324585,1.4332154105195898,2.953303571229322,19,601,89,6011,0.03161397670549085,2.1351866738955674,enriched,High cross-weight c
