GO_id,term,namespace,p_raw,p_fdr,neg_log10_fdr,neg_log10_raw,study_count,study_n,pop_count,pop_n,gene_ratio,fold_enrich,direction,group
GO:0009117,nucleotide metabolic process,biological_process,1.1024351166001007e-08,1.9693490297747758e-06,5.705677306578022,7.957646961344699,39,601,150,6011,0.064891846921797,2.6004326123128116,enriched,High cross-weight c
GO:0006163,purine nucleotide metabolic process,biological_process,1.1056856686196495e-08,1.9693490297747758e-06,5.705677306578022,7.956368319492842,33,601,115,6011,0.05490848585690516,2.870042682485712,enriched,High cross-weight c
GO:0019693,ribose phosphate metabolic process,biological_process,6.833727175670787e-08,1.0739671237843403e-05,4.969009013028998,7.1653423636212255,27,601,89,6011,0.04492512479201331,3.034212641851596,enriched,High cross-weight c
GO:0009259,ribonucleotide metabolic process,biological_process,1.8899168340285908e-07,2.6574883201296765e-05,4.5755286355589,6.723557306576573,25,601,82,6011,0.04159733777038269,3.0492877724118337,enriched,High cross-weight c
GO:0009150,purine ribonucleotide metabolic process,biological_process,2.4313003859964164e-07,3.3598056196140134e-05,4.473685847839612,6.614161380966839,22,601,67,6011,0.036605657237936774,3.2841284426453425,enriched,High cross-weight c
GO:0009067,aspartate family amino acid biosynthetic process,biological_process,4.544143699640774e-07,5.603278731172432e-05,4.251557773320534,6.342547943367842,14,601,31,6011,0.02329450915141431,4.516880468037142,enriched,High cross-weight c
GO:0006796,phosphate-containing compound metabolic process,biological_process,5.378885809118069e-07,6.434592501504675e-05,4.191478951471579,6.269307675460916,75,601,425,6011,0.12479201331114809,1.7649995106195557,enriched,High cross-weight c
GO:0006793,phosphorus metabolic process,biological_process,5.761379714733195e-07,6.790802707880376e-05,4.168078886839031,6.2394735008229585,77,601,442,6011,0.1281198003327787,1.7423713117654587,enriched,High cross-weight c
GO:1901293,nucleoside phosphate biosynthetic process,biological_process,1.427178033300812e-06,0.00015887266579036122,3.7989508171889206,5.845521847447816,29,601,114,6011,0.048252911813643926,2.5442829202790667,enriched,High cross-weight c
GO:0006457,protein folding,biological_process,3.1093671811063315e-06,0.00032524174916577313,3.487793711944628,5.507327989660739,32,601,136,6011,0.05324459234608985,2.353332680826074,enriched,High cross-weight c
GO:0046034,ATP metabolic process,biological_process,3.1245932234266414e-06,0.00032524174916577313,3.487793711944628,5.50520651346231,15,601,40,6011,0.024958402662229616,3.7506239600665556,enriched,High cross-weight c
GO:0019637,organophosphate metabolic process,biological_process,4.0069010983114905e-06,0.000406522940543881,3.3909149416553896,5.397191377055112,67,601,386,6011,0.11148086522462562,1.7360401058684578,enriched,High cross-weight c
GO:0009084,L-glutamine family amino acid biosynthetic process,biological_process,6.746567831145344e-06,0.0006594358678857308,3.180827434503745,5.170917108810192,11,601,24,6011,0.018302828618968387,4.584095951192458,enriched,High cross-weight c
GO:0016051,carbohydrate biosynthetic process,biological_process,7.539043487348434e-06,0.0007280172716999723,3.1378583172322756,5.122683751546365,18,601,58,6011,0.029950083194675542,3.103964656606805,enriched,High cross-weight c
GO:0006090,pyruvate metabolic process,biological_process,1.2080818523946487e-05,0.0011259041915050126,2.9484985640770347,4.91790363952363,14,601,39,6011,0.02329450915141431,3.590340884850036,enriched,High cross-weight c
GO:0009205,purine ribonucleoside triphosphate metabolic process,biological_process,1.6637101448383118e-05,0.0014816263123198965,2.8292613179232995,4.778922335174138,15,601,45,6011,0.024958402662229616,3.333887964503605,enriched,High cross-weight c
GO:0019538,protein metabolic process,biological_process,2.829271399280245e-05,0.002387011606866438,2.6221454692270996,4.548325390628415,122,601,863,6011,0.20299500831946754,1.4139084530803239,enriched,High cross-weight c
GO:0009144,purine nucleoside triphosphate metabolic process,biological_process,2.997741481773517e-05,0.002502801872543202,2.601573528764488,4.523205822415083,15,601,47,6011,0.024958402662229616,3.192020391546005,enriched,High cross-weight c
GO:0009141,nucleoside triphosphate metabolic process,biological_process,3.116285894778703e-05,0.002566749326320497,2.5906165432925747,4.50636270606072,17,601,58,6011,0.028286189683860232,2.9315221756842043,enriched,High cross-weight c
GO:0005975,carbohydrate metabolic process,biological_process,3.8047609142613524e-05,0.0028890237659015146,2.5392488855156397,4.419672628480611,38,601,192,6011,0.0632279534109817,1.9794959789240156,enriched,High cross-weight c
GO:0170035,L-amino acid catabolic process,biological_process,4.4047970487364395e-05,0.003299481153796501,2.4815543479278808,4.356074096932835,12,601,33,6011,0.019966722129783693,3.6369686885493873,enriched,High cross-weight c
GO:1901135,carbohydrate derivative metabolic process,biological_process,5.059897991650752e-05,0.0037551002225074794,2.4253784673146446,4.295858238517859,51,601,291,6011,0.08485856905158069,1.752868929790555,enriched,High cross-weight c
GO:0006006,glucose metabolic process,biological_process,8.42427092622687e-05,0.005871350562931163,2.231261988264591,4.074467674601143,11,601,30,6011,0.018302828618968387,3.667276760953966,enriched,High cross-weight c
GO:0044038,cell wall macromolecule biosynthetic process,biological_process,8.585844979611126e-05,0.005881670727485741,2.2304992921782723,4.066216957122275,12,601,35,6011,0.019966722129783693,3.429141906346565,enriched,High cross-weight c
GO:0044036,cell wall macromolecule metabolic process,biological_process,8.585844979611126e-05,0.005881670727485741,2.2304992921782723,4.066216957122275,12,601,35,6011,0.019966722129783693,3.429141906346565,enriched,High cross-weight c
GO:0046496,nicotinamide nucleotide metabolic process,biological_process,0.00010067019391225557,0.006559931741518117,2.183100679593281,3.997099094844047,18,601,69,6011,0.029950083194675542,2.6091297113506475,enriched,High cross-weight c
GO:0046031,ADP metabolic process,biological_process,0.00011143997609423554,0.007088820701549982,2.1494260081750127,3.9529589897476134,10,601,26,6011,0.016638935108153077,3.846793805196467,enriched,High cross-weight c
GO:0009134,nucleoside diphosphate catabolic process,biological_process,0.00011143997609423554,0.007088820701549982,2.1494260081750127,3.9529589897476134,10,601,26,6011,0.016638935108153077,3.846793805196467,enriched,High cross-weight c
GO:0072522,purine-containing compound biosynthetic process,biological_process,0.00011680557913547839,0.007371627691109128,2.1324366072266985,3.9325364129609053,20,601,82,6011,0.033277870216306155,2.439430217929467,enriched,High cross-weight c
GO:0046390,ribose phosphate biosynthetic process,biological_process,0.0001189209586026754,0.007390438588206799,2.131329787479872,3.9247415986751863,16,601,58,6011,0.026622296173044926,2.759079694761604,enriched,High cross-weight c
GO:0009132,nucleoside diphosphate metabolic process,biological_process,0.00011894779511898652,0.007390438588206799,2.131329787479872,3.924643603870787,11,601,31,6011,0.018302828618968387,3.548977510600612,enriched,High cross-weight c
GO:1901606,alpha-amino acid catabolic process,biological_process,0.0001580182272740657,0.00945161262389281,2.024494086315304,3.80129281464066,12,601,37,6011,0.019966722129783693,3.2437828843818863,enriched,High cross-weight c
GO:0009179,purine ribonucleoside diphosphate metabolic process,biological_process,0.00016134012700232716,0.009508390572968031,2.0218929872087963,3.7922576055287425,10,601,27,6011,0.016638935108153077,3.704319960559561,enriched,High cross-weight c
GO:0009135,purine nucleoside diphosphate metabolic process,biological_process,0.00016134012700232716,0.009508390572968031,2.0218929872087963,3.7922576055287425,10,601,27,6011,0.016638935108153077,3.704319960559561,enriched,High cross-weight c
GO:0009063,amino acid catabolic process,biological_process,0.00016472446757222683,0.009636982537163488,2.016058927985128,3.7832418875188845,14,601,48,6011,0.02329450915141431,2.917151968940655,enriched,High cross-weight c
GO:0072524,pyridine-containing compound metabolic process,biological_process,0.00016672304074474525,0.009683225880935748,2.0139799372265927,3.77800437751552,20,601,84,6011,0.033277870216306155,2.3813485460740034,enriched,High cross-weight c
GO:0009056,catabolic process,biological_process,0.00022604221623731042,0.01291419092331282,1.8889327972759824,3.6458104433007184,118,601,865,6011,0.19633943427620631,1.364388831715926,enriched,High cross-weight c
GO:0006696,ergosterol biosynthetic process,biological_process,0.00022879789283972805,0.01291419092331282,1.8889327972759824,3.6405479795830895,10,601,28,6011,0.016638935108153077,3.5720228191110053,enriched,High cross-weight c
GO:0016129,phytosteroid biosynthetic process,biological_process,0.00022879789283972805,0.01291419092331282,1.8889327972759824,3.6405479795830895,10,601,28,6011,0.016638935108153077,3.5720228191110053,enriched,High cross-weight c
GO:0002181,cytoplasmic translation,biological_process,0.0002923886382245875,0.016162034037034957,1.7915039829506294,3.534039507405818,27,601,131,6011,0.04492512479201331,2.061411642173985,enriched,High cross-weight c
GO:0009137,purine nucleoside diphosphate catabolic process,biological_process,0.000309512962501876,0.016649304660755277,1.7786038995932718,3.5093211578711614,9,601,24,6011,0.014975041597337771,3.750623960066556,enriched,High cross-weight c
GO:0006096,glycolytic process,biological_process,0.000309512962501876,0.016649304660755277,1.7786038995932718,3.5093211578711614,9,601,24,6011,0.014975041597337771,3.750623960066556,enriched,High cross-weight c
GO:0046032,ADP catabolic process,biological_process,0.000309512962501876,0.016649304660755277,1.7786038995932718,3.5093211578711614,9,601,24,6011,0.014975041597337771,3.750623960066556,enriched,High cross-weight c
GO:0009181,purine ribonucleoside diphosphate catabolic process,biological_process,0.000309512962501876,0.016649304660755277,1.7786038995932718,3.5093211578711614,9,601,24,6011,0.014975041597337771,3.750623960066556,enriched,High cross-weight c
GO:0009185,ribonucleoside diphosphate metabolic process,biological_process,0.00031838948705023145,0.01689994528945434,1.7721147013346426,3.497041280731637,10,601,29,6011,0.016638935108153077,3.448849618452005,enriched,High cross-weight c
GO:0009165,nucleotide biosynthetic process,biological_process,0.0003431512235442734,0.018094454320443102,1.7424545094993482,3.4645144482447394,20,601,86,6011,0.033277870216306155,2.3259683473280965,enriched,High cross-weight c
GO:0051156,glucose 6-phosphate metabolic process,biological_process,0.00040320246203400743,0.02112201132812137,1.6752647287938374,3.3944768246664023,8,601,20,6011,0.013311148086522463,4.000665557404326,enriched,High cross-weight c
GO:0009260,ribonucleotide biosynthetic process,biological_process,0.00041419295240405994,0.02155686047739312,1.6664144891544543,3.382797295008155,14,601,52,6011,0.02329450915141431,2.692755663637527,enriched,High cross-weight c
GO:1902653,secondary alcohol biosynthetic process,biological_process,0.000435462875944213,0.02223079586428578,1.6530449892452008,3.361048863526131,10,601,30,6011,0.016638935108153077,3.333887964503605,enriched,High cross-weight c
GO:0009191,ribonucleoside diphosphate catabolic process,biological_process,0.0004412925523769654,0.02224503023459986,1.6527669996389776,3.35527340200869,9,601,25,6011,0.014975041597337771,3.600599001663894,enriched,High cross-weight c
