gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YBL084C,0.62802315,0.39356142,1.0,mid
YBL085W,0.72859895,0.2398826,0.0,mid
YBL086C,0.84432185,0.2344168,1.0,mid
YBL087C,0.9228865,0.331162,6.0,mid
YBL088C,0.36488175,0.3246779,1.0,mid
YBL089W,0.68715674,0.25292253,0.0,mid
YBL090W,0.6838811,0.24828948,0.0,mid
YBL091C,0.83515173,0.20140551,0.0,mid
YBL091C-A,0.74314225,0.34722173,3.0,mid
YBL092W,0.77785873,0.48958954,18.0,mid
YBL093C,0.57110226,0.23306455,3.0,mid
YBL094C,0.21584481,0.474232,9.0,low_c
YBL095W,0.6497886,0.1856989,0.0,mid
YBL096C,0.22579633,0.4317458,6.0,low_c
YBL097W,0.44702727,0.34339786,2.0,mid
YBL098W,0.8613031,0.25405923,3.0,mid
YBL099W,0.866112,0.2674652,2.0,mid
YBL100C,0.40607405,0.48954627,9.0,mid
YBL100W-C,0.4871314,0.6603004,22.0,mid
YBL101C,0.63179797,0.31809196,0.0,mid
YBL102W,0.8872427,0.18053398,0.0,mid
YBL103C,0.91514647,0.3073339,0.0,mid
YBL104C,0.5758523,0.23333281,1.0,mid
YBL105C,0.802625,0.23569268,0.0,mid
YBL106C,0.4901647,0.36901462,7.0,mid
YBL107C,0.83986974,0.22995165,0.0,mid
YBL107W-A,0.7525737,0.6534883,16.0,mid
YBL108C-A,0.85237765,0.5121511,15.0,mid
YBL108W,0.7498226,0.4941447,14.0,mid
YBL109W,0.66016144,0.44433397,9.0,mid
YBL111C,0.8066623,0.023911096,0.0,mid
YBL112C,0.72645587,0.0,0.0,mid
YBL113C,0.6593677,0.43252715,7.0,mid
YBL113W-A,0.88984877,0.44086087,5.0,mid
YBR001C,0.8176674,0.39171854,10.0,mid
YBR002C,0.69376796,0.22295944,1.0,mid
YBR003W,0.85690665,0.22744699,0.0,mid
YBR004C,0.77053565,0.24470419,0.0,mid
YBR005W,0.7743137,0.20834969,1.0,mid
YBR006W,0.77984184,0.3788003,7.0,mid
YBR007C,0.6603256,0.3125113,1.0,mid
YBR008C,0.8122094,0.95477647,38.0,mid
YBR009C,0.9198759,0.44466525,19.0,mid
YBR010W,0.95414585,0.6258122,24.0,high_c
YBR011C,0.9394626,0.26032245,1.0,mid
YBR012C,0.8835986,0.60783756,21.0,mid
YBR013C,0.7764304,0.2190712,0.0,mid
YBR014C,0.6976515,0.29679203,0.0,mid
YBR015C,0.9511469,0.17569166,0.0,high_c
YBR016W,0.9055765,0.3019192,0.0,mid
YBR017C,0.80944955,0.19194515,1.0,mid
YBR018C,0.951476,0.41515777,6.0,high_c
YBR019C,0.78772026,0.3562759,7.0,mid
YBR020W,0.9576655,0.5597033,15.0,high_c
YBR021W,0.8256611,0.42001235,7.0,mid
YBR022W,0.6598584,0.25028643,0.0,mid
YBR023C,0.45339397,0.27224344,0.0,mid
YBR024W,0.80729246,0.22704782,1.0,mid
YBR025C,0.9081776,0.2527528,0.0,mid
YBR026C,0.7569155,0.24997911,4.0,mid
YBR027C,0.4630148,0.1386359,0.0,mid
YBR028C,0.64010215,0.232401,1.0,mid
YBR029C,0.9443367,0.3121443,3.0,high_c
YBR030W,0.728597,0.24424034,0.0,mid
YBR031W,0.97553205,0.28994504,2.0,high_c
YBR032W,0.625801,0.28632328,6.0,mid
YBR033W,0.8277536,0.3354889,4.0,mid
YBR034C,0.885378,0.3796861,4.0,mid
YBR035C,0.86884034,0.30200726,3.0,mid
YBR036C,0.8369691,0.16643915,0.0,mid
YBR037C,0.9282621,0.2157366,2.0,mid
YBR038W,0.7939462,0.2541251,2.0,mid
YBR039W,0.7066738,0.24705252,4.0,mid
YBR040W,0.86513877,0.32519236,9.0,mid
YBR041W,0.7852496,0.27884942,0.0,mid
YBR042C,0.6705209,0.18174547,0.0,mid
YBR043C,0.5605301,0.37496302,6.0,mid
YBR044C,0.90445024,0.2436046,0.0,mid
YBR045C,0.86179084,0.39250705,9.0,mid
YBR046C,0.742725,0.5788202,26.0,mid
YBR047W,0.7820937,0.48952124,16.0,mid
YBR048W,0.9097109,0.29505965,4.0,mid
YBR049C,0.58594,0.19759974,1.0,mid
YBR050C,0.8569774,0.44944853,10.0,mid
YBR051W,0.7037861,0.36169517,6.0,mid
YBR052C,0.72822076,0.36196813,5.0,mid
YBR053C,0.7533297,0.39412573,8.0,mid
YBR054W,0.91610473,1.2534833,61.0,mid
YBR055C,0.722257,0.22180842,0.0,mid
YBR056C-B,0.6201026,0.42714062,6.0,mid
YBR056W,0.8287538,0.42303425,8.0,mid
YBR056W-A,0.8914415,0.43695462,9.0,mid
YBR057C,0.33825994,0.20247935,0.0,low_c
YBR058C,0.5540549,0.17039905,1.0,mid
YBR058C-A,0.8449016,0.35530144,5.0,mid
YBR059C,0.83249134,0.20788127,0.0,mid
YBR060C,0.74282235,0.27086827,0.0,mid
YBR061C,0.8739631,0.2099953,0.0,mid
YBR062C,0.8758972,0.21388455,1.0,mid
YBR063C,0.6773294,0.29590547,1.0,mid
YBR064W,0.6921617,0.27640125,6.0,mid
YBR065C,0.5604159,0.22866377,2.0,mid
YBR066C,0.8295241,0.49614665,14.0,mid
YBR067C,0.9607762,0.7677492,40.0,high_c
YBR068C,0.74693197,0.37298226,8.0,mid
YBR069C,0.89453095,0.29387948,2.0,mid
YBR070C,0.7855695,0.36292452,6.0,mid
YBR071W,0.57257795,0.3153837,3.0,mid
YBR072C-A,0.53748935,0.569613,26.0,mid
YBR072W,0.8845641,1.0896239,61.0,mid
YBR073W,0.6213284,0.25076395,4.0,mid
YBR074W,0.7007529,0.182253,0.0,mid
YBR076C-A,0.5033365,0.28699994,3.0,mid
YBR076W,0.94817203,0.27976552,2.0,high_c
YBR077C,0.77629125,0.23284888,0.0,mid
YBR078W,0.9033602,0.25323752,1.0,mid
YBR079C,0.80150896,0.19638918,1.0,mid
YBR080C,0.88967806,0.25657967,1.0,mid
YBR081C,0.7983483,0.22931941,1.0,mid
YBR082C,0.8671897,0.31330812,1.0,mid
